Date,corruption,bribe,verdict,embezzlement,investigation,detention,dollar,million,billion,agency,crime,court,ministry,akim,chief,deputy,district,city,region,offense,Total Crimes
2016-11,54,76.0,6.0,10.0,15.0,20.0,16.0,35.0,6.0,40.0,21.0,28.0,20.0,1.0,4.0,17.0,6.0,5.0,32.0,7.0,3463.0
2016-12,40,24.0,2.0,4.0,11.0,7.0,3.0,15.0,1.0,24.0,6.0,16.0,13.0,6.0,3.0,9.0,4.0,3.0,14.0,6.0,3214.0
2017-01,41,29.0,1.0,1.0,14.0,16.0,4.0,13.0,7.0,7.0,4.0,26.0,8.0,9.0,5.0,16.0,13.0,3.0,14.0,2.0,1137.0
2017-02,24,16.0,15.0,19.0,16.0,10.0,18.0,40.0,11.0,5.0,10.0,43.0,8.0,3.0,5.0,3.0,3.0,9.0,14.0,3.0,1337.0
2017-03,33,26.0,10.0,24.0,26.0,8.0,8.0,45.0,12.0,8.0,30.0,62.0,25.0,12.0,2.0,18.0,17.0,12.0,23.0,7.0,1566.0
2017-04,42,22.0,1.0,13.0,10.0,1.0,20.0,20.0,9.0,13.0,11.0,33.0,14.0,1.0,10.0,18.0,2.0,9.0,18.0,5.0,1802.0
2017-05,13,20.0,9.0,20.0,11.0,1.0,7.0,21.0,7.0,11.0,8.0,49.0,6.0,4.0,5.0,12.0,3.0,7.0,5.0,3.0,2011.0
2017-06,7,15.0,6.0,3.0,3.0,4.0,4.0,10.0,1.0,4.0,5.0,21.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2270.0
2017-07,27,48.0,8.0,4.0,19.0,6.0,44.0,62.0,30.0,3.0,15.0,56.0,5.0,2.0,3.0,6.0,6.0,7.0,26.0,7.0,2424.0
2017-08,16,10.0,5.0,3.0,14.0,1.0,1.0,14.0,1.0,7.0,4.0,14.0,3.0,5.0,1.0,3.0,1.0,1.0,5.0,2.0,2577.0
2017-09,6,31.0,23.0,2.0,5.0,3.0,3.0,12.0,1.0,3.0,3.0,30.0,1.0,2.0,1.0,3.0,7.0,1.0,12.0,1.0,2738.0
2017-10,61,54.0,13.0,15.0,42.0,9.0,29.0,24.0,9.0,4.0,23.0,44.0,8.0,9.0,3.0,18.0,9.0,9.0,32.0,1.0,2898.0
2017-11,58,35.0,10.0,8.0,20.0,5.0,23.0,24.0,22.0,11.0,27.0,48.0,6.0,9.0,5.0,12.0,9.0,8.0,11.0,2.0,3059.0
2017-12,17,40.0,29.0,4.0,14.0,4.0,16.0,32.0,14.0,2.0,10.0,43.0,5.0,8.0,5.0,10.0,4.0,3.0,10.0,3.0,2965.0
2018-01,29,42.0,8.0,7.0,17.0,2.0,18.0,36.0,13.0,20.0,21.0,92.0,5.0,1.0,6.0,3.0,1.0,2.0,8.0,6.0,1621.0
2018-02,50,65.0,11.0,16.0,17.0,12.0,11.0,49.0,3.0,7.0,27.0,127.0,14.0,2.0,1.0,9.0,5.0,2.0,7.0,6.0,1259.0
2018-03,20,99.0,24.0,5.0,12.0,6.0,11.0,46.0,14.0,7.0,17.0,116.0,3.0,6.0,11.0,20.0,8.0,5.0,17.0,5.0,1450.0
2018-04,16,27.0,4.0,8.0,1.0,2.0,10.0,20.0,10.0,8.0,10.0,21.0,4.0,3.0,2.0,1.0,1.0,1.0,7.0,3.0,1621.0
2018-05,43,21.0,16.0,9.0,4.0,1.0,5.0,10.0,2.0,5.0,4.0,28.0,1.0,1.0,3.0,4.0,1.0,1.0,17.0,3.0,1909.0
2018-06,52,30.0,6.0,6.0,12.0,8.0,18.0,30.0,10.0,15.0,12.0,24.0,14.0,3.0,7.0,12.0,3.0,1.0,10.0,8.0,2161.0
2018-07,19,16.0,4.0,5.0,6.0,3.0,3.0,4.0,1.0,8.0,15.0,22.0,3.0,7.0,3.0,12.0,4.0,1.0,20.0,4.0,2285.0
2018-08,46,17.0,1.0,9.0,11.0,2.0,13.0,28.0,4.0,16.0,7.0,12.0,9.0,9.0,1.0,8.0,5.0,1.0,19.0,5.0,2415.0
2018-09,46,21.0,3.0,3.0,14.0,5.0,5.0,17.0,1.0,18.0,9.0,26.0,5.0,9.0,3.0,16.0,9.0,1.0,23.0,14.0,2626.0
2018-10,44,14.0,2.0,8.0,22.0,8.0,7.0,20.0,9.0,23.0,3.0,21.0,23.0,5.0,12.0,12.0,11.0,1.0,28.0,10.0,2756.0
2018-11,35,18.0,1.0,8.0,17.0,13.0,13.0,23.0,4.0,16.0,5.0,18.0,10.0,10.0,1.0,11.0,3.0,5.0,24.0,1.0,2886.0
2018-12,33,11.0,11.0,2.0,4.0,1.0,4.0,6.0,1.0,7.0,7.0,16.0,3.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,2841.0
2019-01,36,20.0,1.0,6.0,25.0,7.0,9.0,32.0,2.0,20.0,1.0,17.0,9.0,19.0,9.0,14.0,10.0,4.0,29.0,2.0,1029.0
