коррупция,взятка,приговор,хищение,расследование,задержание,доллар,миллион,миллиард,агентство,преступление,суд,министерство,аким,начальник,заместитель,район,город,область,правонарушение,Date,Total Crimes
54,76.0,6.0,10.0,15.0,20.0,16.0,35.0,6.0,40.0,21.0,28.0,20.0,1.0,4.0,17.0,6.0,5.0,32.0,7.0,2016-11,3463.0
40,24.0,2.0,4.0,11.0,7.0,3.0,15.0,1.0,24.0,6.0,16.0,13.0,6.0,3.0,9.0,4.0,3.0,14.0,6.0,2016-12,3214.0
41,29.0,1.0,1.0,14.0,16.0,4.0,13.0,7.0,7.0,4.0,26.0,8.0,9.0,5.0,16.0,13.0,3.0,14.0,2.0,2017-01,1137.0
24,16.0,15.0,19.0,16.0,10.0,18.0,40.0,11.0,5.0,10.0,43.0,8.0,3.0,5.0,3.0,3.0,9.0,14.0,3.0,2017-02,1337.0
33,26.0,10.0,24.0,26.0,8.0,8.0,45.0,12.0,8.0,30.0,62.0,25.0,12.0,2.0,18.0,17.0,12.0,23.0,7.0,2017-03,1566.0
42,22.0,1.0,13.0,10.0,1.0,20.0,20.0,9.0,13.0,11.0,33.0,14.0,1.0,10.0,18.0,2.0,9.0,18.0,5.0,2017-04,1802.0
13,20.0,9.0,20.0,11.0,1.0,7.0,21.0,7.0,11.0,8.0,49.0,6.0,4.0,5.0,12.0,3.0,7.0,5.0,3.0,2017-05,2011.0
7,15.0,6.0,3.0,3.0,4.0,4.0,10.0,1.0,4.0,5.0,21.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2017-06,2270.0
27,48.0,8.0,4.0,19.0,6.0,44.0,62.0,30.0,3.0,15.0,56.0,5.0,2.0,3.0,6.0,6.0,7.0,26.0,7.0,2017-07,2424.0
16,10.0,5.0,3.0,14.0,1.0,1.0,14.0,1.0,7.0,4.0,14.0,3.0,5.0,1.0,3.0,1.0,1.0,5.0,2.0,2017-08,2577.0
6,31.0,23.0,2.0,5.0,3.0,3.0,12.0,1.0,3.0,3.0,30.0,1.0,2.0,1.0,3.0,7.0,1.0,12.0,1.0,2017-09,2738.0
61,54.0,13.0,15.0,42.0,9.0,29.0,24.0,9.0,4.0,23.0,44.0,8.0,9.0,3.0,18.0,9.0,9.0,32.0,1.0,2017-10,2898.0
58,35.0,10.0,8.0,20.0,5.0,23.0,24.0,22.0,11.0,27.0,48.0,6.0,9.0,5.0,12.0,9.0,8.0,11.0,2.0,2017-11,3059.0
17,40.0,29.0,4.0,14.0,4.0,16.0,32.0,14.0,2.0,10.0,43.0,5.0,8.0,5.0,10.0,4.0,3.0,10.0,3.0,2017-12,2965.0
29,42.0,8.0,7.0,17.0,2.0,18.0,36.0,13.0,20.0,21.0,92.0,5.0,1.0,6.0,3.0,1.0,2.0,8.0,6.0,2018-01,1621.0
50,65.0,11.0,16.0,17.0,12.0,11.0,49.0,3.0,7.0,27.0,127.0,14.0,2.0,1.0,9.0,5.0,2.0,7.0,6.0,2018-02,1259.0
20,99.0,24.0,5.0,12.0,6.0,11.0,46.0,14.0,7.0,17.0,116.0,3.0,6.0,11.0,20.0,8.0,5.0,17.0,5.0,2018-03,1450.0
16,27.0,4.0,8.0,1.0,2.0,10.0,20.0,10.0,8.0,10.0,21.0,4.0,3.0,2.0,1.0,1.0,1.0,7.0,3.0,2018-04,1621.0
43,21.0,16.0,9.0,4.0,1.0,5.0,10.0,2.0,5.0,4.0,28.0,1.0,1.0,3.0,4.0,1.0,1.0,17.0,3.0,2018-05,1909.0
52,30.0,6.0,6.0,12.0,8.0,18.0,30.0,10.0,15.0,12.0,24.0,14.0,3.0,7.0,12.0,3.0,1.0,10.0,8.0,2018-06,2161.0
19,16.0,4.0,5.0,6.0,3.0,3.0,4.0,1.0,8.0,15.0,22.0,3.0,7.0,3.0,12.0,4.0,1.0,20.0,4.0,2018-07,2285.0
46,17.0,1.0,9.0,11.0,2.0,13.0,28.0,4.0,16.0,7.0,12.0,9.0,9.0,1.0,8.0,5.0,1.0,19.0,5.0,2018-08,2415.0
46,21.0,3.0,3.0,14.0,5.0,5.0,17.0,1.0,18.0,9.0,26.0,5.0,9.0,3.0,16.0,9.0,1.0,23.0,14.0,2018-09,2626.0
44,14.0,2.0,8.0,22.0,8.0,7.0,20.0,9.0,23.0,3.0,21.0,23.0,5.0,12.0,12.0,11.0,1.0,28.0,10.0,2018-10,2756.0
35,18.0,1.0,8.0,17.0,13.0,13.0,23.0,4.0,16.0,5.0,18.0,10.0,10.0,1.0,11.0,3.0,5.0,24.0,1.0,2018-11,2886.0
33,11.0,11.0,2.0,4.0,1.0,4.0,6.0,1.0,7.0,7.0,16.0,3.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,2018-12,2841.0
36,20.0,1.0,6.0,25.0,7.0,9.0,32.0,2.0,20.0,1.0,17.0,9.0,19.0,9.0,14.0,10.0,4.0,29.0,2.0,2019-01,1029.0
46,38.0,4.0,3.0,32.0,14.0,5.0,19.0,3.0,14.0,11.0,39.0,10.0,9.0,19.0,30.0,10.0,3.0,46.0,7.0,2019-02,1256.0
39,35.0,1.0,1.0,16.0,6.0,10.0,29.0,6.0,9.0,11.0,9.0,1.0,5.0,2.0,11.0,7.0,3.0,25.0,5.0,2019-03,1583.0
21,16.0,1.0,4.0,17.0,6.0,2.0,6.0,2.0,13.0,2.0,13.0,8.0,4.0,7.0,5.0,5.0,2.0,24.0,1.0,2019-04,1793.0
27,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,13.0,1.0,2019-05,1946.0
46,17.0,5.0,4.0,14.0,2.0,1.0,10.0,4.0,22.0,8.0,16.0,2.0,4.0,4.0,7.0,5.0,4.0,25.0,3.0,2019-06,2064.0
71,45.0,15.0,7.0,25.0,11.0,5.0,27.0,1.0,68.0,6.0,78.0,18.0,1.0,8.0,21.0,5.0,5.0,43.0,7.0,2019-07,2182.0
32,7.0,10.0,4.0,6.0,1.0,10.0,23.0,3.0,29.0,6.0,13.0,10.0,10.0,1.0,5.0,6.0,10.0,23.0,1.0,2019-08,2300.0
